,state,status,latlon,lat,lon
213,AR,11,"(35.0081474, -90.7898342)",35.0081474,-90.7898342
211,AR,1,"(33.8137161, -92.4129303)",33.8137161,-92.4129303
210,AR,386,"(36.0625843, -94.1574328)",36.0625843,-94.1574328
209,AR,1,"(36.0420248, -94.2471515)",36.0420248,-94.2471515
208,AR,1,"(36.4000796, -93.7392419)",36.4000796,-93.7392419
362,AZ,14,"(33.2483858, -111.6341585)",33.2483858,-111.6341585
364,AZ,35,"(31.4714828, -110.9764769)",31.4714828,-110.9764769
365,AZ,4,"(36.7170573, -109.6245142)",36.7170573,-109.6245142
366,AZ,2,"(32.7517127, -113.9890993)",32.7517127,-113.9890993
367,AZ,9,"(33.778407, -113.604054801563)",33.778407,-113.604054802
369,AZ,14,"(4.6526208, -74.0628224)",4.6526208,-74.0628224
370,AZ,3,"(37.47019675, -77.4292383703953)",37.47019675,-77.4292383704
373,AZ,2653,"(33.5091215, -111.8992365)",33.5091215,-111.8992365
361,AZ,2,"(34.6488975, -112.280213830875)",34.6488975,-112.280213831
368,AZ,92,"(33.3458815, -111.8506955)",33.3458815,-111.8506955
360,AZ,17,"(34.5402813, -112.469518)",34.5402813,-112.469518
349,AZ,1,"(35.5253105, -113.44158285274)",35.5253105,-113.441582853
358,AZ,1,"(33.4485866, -112.0773456)",33.4485866,-112.0773456
355,AZ,1,"(33.4485866, -112.0773456)",33.4485866,-112.0773456
354,AZ,1,"(33.4485866, -112.0773456)",33.4485866,-112.0773456
353,AZ,6416,"(33.4485866, -112.0773456)",33.4485866,-112.0773456
351,AZ,3,"(33.4132913, -112.009036356419)",33.4132913,-112.009036356
350,AZ,102,"(33.5766205, -112.2398262)",33.5766205,-112.2398262
348,AZ,5,"(34.2308684, -111.3251355)",34.2308684,-111.3251355
347,AZ,2,"(34.8855757, -112.4682271)",34.8855757,-112.4682271
374,AZ,2,"(33.5091215, -111.8992365)",33.5091215,-111.8992365
359,AZ,83,"(34.513443, -112.4778913)",34.513443,-112.4778913
401,AZ,3,"(35.6805731, -109.052593)",35.6805731,-109.052593
377,AZ,2,"(34.2542084, -110.0298327)",34.2542084,-110.0298327
346,AZ,16,"(34.1500162, -114.2891177)",34.1500162,-114.2891177
403,AZ,145,"(32.7253249, -114.624397)",32.7253249,-114.624397
402,AZ,4,"(35.0241874, -110.6973572)",35.0241874,-110.6973572
400,AZ,2,"(35.2503394, -112.1869481)",35.2503394,-112.1869481
399,AZ,37,"(32.2529138, -109.8315759)",32.2529138,-109.8315759
398,AZ,60,"(33.846063, -109.95762319342)",33.846063,-109.957623193
397,AZ,7,"(32.6728314, -114.1468894)",32.6728314,-114.1468894
396,AZ,9,"(32.0100705, -110.697528106282)",32.0100705,-110.697528106
394,AZ,4,"(32.1975976, -111.0808672)",32.1975976,-111.0808672
393,AZ,1,"(32.2218917, -110.9262353)",32.2218917,-110.9262353
392,AZ,1846,"(32.2218917, -110.9262353)",32.2218917,-110.9262353
376,AZ,12,"(34.8657757, -111.7929891)",34.8657757,-111.7929891
391,AZ,111,"(36.1355819, -111.2403034)",36.1355819,-111.2403034
389,AZ,10,"(33.4500497, -112.2593093)",33.4500497,-112.2593093
388,AZ,1867,"(33.4144139, -111.9094474)",33.4144139,-111.9094474
387,AZ,7,"(34.4647338, -110.0916551)",34.4647338,-110.0916551
386,AZ,28,"(33.6292271, -112.3680189)",33.6292271,-112.3680189
385,AZ,9,"(33.293945, -111.0962305)",33.293945,-111.0962305
384,AZ,12,"(33.6290111, -112.2819337)",33.6290111,-112.2819337
382,AZ,5,"(32.879224, -111.963706336491)",32.879224,-111.963706336
381,AZ,2,"(34.1340599, -109.2860081)",34.1340599,-109.2860081
380,AZ,1,"(34.350292, -112.150769841186)",34.350292,-112.150769841
379,AZ,14,"(32.5964404, -114.709677)",32.5964404,-114.709677
378,AZ,6,"(31.5545401, -110.3036929)",31.5545401,-110.3036929
390,AZ,2,"(36.1355819, -111.2403034)",36.1355819,-111.2403034
345,AZ,4,"(33.5428006, -111.9556001)",33.5428006,-111.9556001
363,AZ,3,"(34.6464119, -111.7847714)",34.6464119,-111.7847714
343,AZ,2,"(32.3909071, -110.966488)",32.3909071,-110.966488
311,AZ,1,"(33.7906068, -109.98871)",33.7906068,-109.98871
310,AZ,46,"(33.0314508, -111.3873431)",33.0314508,-111.3873431
309,AZ,156,"(35.199458, -111.6514259)",35.199458,-111.6514259
308,AZ,2,"(33.616458, -114.478961092308)",33.616458,-114.478961092
306,AZ,67,"(31.3445508, -109.5453461)",31.3445508,-109.5453461
305,AZ,9,"(33.517533, -112.1547725)",33.517533,-112.1547725
304,AZ,33,"(32.977839, -111.517624)",32.977839,-111.517624
302,AZ,21,"(34.036876, -110.491417601946)",34.036876,-110.491417602
301,AZ,3,"(34.7575227, -112.4537809)",34.7575227,-112.4537809
300,AZ,36,"(36.1501434, -109.56706853699)",36.1501434,-109.567068537
299,AZ,2764,"(33.3067132, -111.8408489)",33.3067132,-111.8408489
298,AZ,7,"(33.9000761, -111.9448828)",33.9000761,-111.9448828
297,AZ,1,"(-2.9024003, -78.9864916)",-2.9024003,-78.9864916
295,AZ,25,"(35.1477774, -114.5682983)",35.1477774,-114.5682983
294,AZ,8,"(33.377888, -112.572688055066)",33.377888,-112.572688055
