,state,year,median,q25,q75,q0,q100,count
222,NH,2017,18070.0,66800.0,57096.0,83221.0,18070.0,201531.0
223,NJ,2011,17740.0,59613.0,52603.0,70658.0,17740.0,650583.0
224,NJ,2012,17830.0,60674.0,53893.0,70658.0,17830.0,234354.0
225,NJ,2013,16952.0,60736.0,53914.0,71282.0,16952.0,237328.0
226,NJ,2014,17285.0,62442.0,54642.0,72363.0,17285.0,248352.0
227,NJ,2015,16890.0,63086.0,55744.0,73445.0,16890.0,249954.0
228,NJ,2016,16598.0,63877.0,56805.0,74339.0,16598.0,255091.0
229,NJ,2017,17181.0,65666.0,56638.0,77189.0,17181.0,278179.0
230,NM,2011,17230.0,50987.0,40602.0,65707.0,17230.0,209976.0
231,NM,2012,21170.0,49320.0,39830.0,69534.0,21170.0,209706.0
232,NM,2013,27110.0,54912.0,40643.5,75150.5,27110.0,236496.0
233,NM,2014,17070.0,50010.0,38690.0,71253.0,17070.0,200554.0
234,NM,2015,25938.0,47986.0,37794.0,72226.5,25938.0,260900.0
235,NM,2016,22381.0,54808.0,41018.0,72197.0,22381.0,249787.0
236,NM,2017,23296.0,58968.0,46488.0,88192.0,23296.0,238347.0
237,NV,2011,18554.0,58567.5,49046.0,75666.5,18554.0,280000.0
238,NV,2012,24274.0,62858.0,50980.0,79347.5,24274.0,234851.0
239,NV,2013,26750.0,67330.0,53352.0,80954.0,26750.0,246022.0
240,NV,2014,21550.0,68286.0,55663.5,81786.0,21550.0,239845.0
241,NV,2015,22630.0,68026.5,56321.75,84531.0,22630.0,210309.0
242,NV,2016,27331.0,68162.0,53747.5,88036.5,27331.0,413484.0
243,NV,2017,26021.0,70304.0,56453.0,91686.0,26021.0,269360.0
244,NY,2011,16600.0,62150.0,50045.0,85592.0,16600.0,1067300.0
245,NY,2012,16994.0,62774.0,50100.0,85966.0,16994.0,298484.0
246,NY,2013,17534.0,64293.0,51429.0,87714.0,17534.0,384600.0
247,NY,2014,16424.0,67205.0,54413.0,91104.0,16424.0,745064.0
248,NY,2015,20470.0,67900.0,55453.0,91562.0,20470.0,304211.0
249,NY,2016,20259.0,73008.0,58568.87,91562.0,20259.0,323736.0
250,NY,2017,16000.0,70637.0,55910.0,94973.0,16000.0,352300.0
251,OH,2011,15420.0,58469.0,47330.75,71786.25,15420.0,711300.0
252,OH,2012,16060.0,59322.0,49670.0,71906.0,16060.0,295394.0
253,OH,2013,17280.0,61027.0,50918.0,74907.0,17280.0,468000.0
254,OH,2014,17620.0,60496.5,53145.0,74194.0,17620.0,631920.0
255,OH,2015,17910.0,62338.0,54371.0,73486.0,17910.0,414938.0
256,OH,2016,17805.0,63232.0,53914.0,76274.0,17805.0,488400.0
257,OH,2017,18290.0,65083.0,56534.0,83034.0,18290.0,309012.0
258,OK,2011,15240.0,44304.0,37045.0,61963.0,15240.0,212763.0
259,OK,2012,16060.0,50097.0,37435.4,68364.5,16060.0,237474.0
260,OK,2013,18574.0,49483.0,38215.0,72727.0,18574.0,242008.0
261,OK,2014,20330.0,51147.0,40165.0,72821.0,20330.0,242008.0
262,OK,2015,16827.0,49310.0,39249.25,65827.0,16827.0,339540.0
263,OK,2016,17077.0,50003.0,39333.0,67974.0,17077.0,249059.0
264,OK,2017,16994.0,54400.0,41829.0,75733.0,16994.0,272958.0
265,OR,2011,19430.0,67319.5,49852.5,82466.75,19430.0,293251.0
266,OR,2012,23076.0,65884.0,48400.0,84541.25,23076.0,265046.0
267,OR,2013,19960.0,68827.5,51474.5,88862.5,19960.0,232128.0
268,OR,2014,25126.0,69118.0,52832.0,91083.0,25126.0,236205.0
269,OR,2015,23856.0,67059.0,53712.5,85791.5,23856.0,256068.0
270,OR,2016,26624.0,72987.0,55857.75,90979.0,26624.0,255278.0
271,OR,2017,27893.0,74110.0,54840.0,101920.0,27893.0,210704.0
272,PA,2011,15590.0,60000.0,51043.0,75296.0,15590.0,231670.0
273,PA,2012,16140.0,61776.0,52811.0,76086.0,16140.0,280659.0
274,PA,2013,17638.0,63502.0,54680.0,78707.0,17638.0,330571.0
275,PA,2014,16980.0,64989.5,55848.0,79269.0,16980.0,254124.0
276,PA,2015,16702.0,66581.0,56680.0,82285.0,16702.0,307211.0
277,PA,2016,16770.0,67704.0,56992.0,84261.0,16770.0,395480.0
278,PA,2017,17940.0,68557.0,57304.0,86715.0,17940.0,295922.0
279,PR,2011,16578.0,41870.0,34840.0,53872.0,16578.0,244026.0
280,PR,2012,16160.0,39458.0,29570.0,55266.0,16160.0,150238.0
281,PR,2013,18220.0,48402.0,32074.0,63482.0,18220.0,154419.0
282,PR,2014,16710.0,41568.5,31198.75,54443.75,16710.0,222643.0
283,PR,2015,16920.0,51709.0,38180.0,61146.75,16920.0,98051.0
284,PR,2016,16930.0,47403.0,36483.0,57824.0,16930.0,222643.0
285,PR,2017,16837.0,47382.0,38896.0,54246.0,16837.0,146869.0
286,PW,2016,51730.0,80350.5,66040.25,94660.75,51730.0,108971.0
287,RI,2011,17347.0,64470.0,47231.25,83356.25,17347.0,200491.0
288,RI,2012,20654.0,61984.0,48199.0,78637.0,20654.0,200491.0
289,RI,2013,25646.0,65603.0,50461.0,85446.0,25646.0,227240.0
290,RI,2014,24752.0,75213.0,58656.0,92394.0,24752.0,187200.0
291,RI,2015,31346.0,71261.0,57408.0,89274.0,31346.0,173742.0
292,RI,2016,29453.0,75650.0,60715.0,94200.0,29453.0,217568.0
293,RI,2017,23733.0,76898.0,60798.0,95326.0,23733.0,229216.0
294,SC,2011,23990.0,50294.0,38417.5,65967.25,23990.0,229382.0
295,SC,2012,18550.0,52686.0,40380.0,70886.5,18550.0,353689.0
296,SC,2013,19282.0,51348.5,38381.25,68609.0,19282.0,241114.0
297,SC,2014,19080.0,53020.0,38917.0,70842.25,19080.0,248747.0
298,SC,2015,19278.0,57491.0,42953.0,73050.0,19278.0,281953.0
299,SC,2016,16990.0,54912.0,42453.0,72301.0,16990.0,218192.0
300,SC,2017,20030.0,57075.0,49770.0,70850.0,20030.0,283668.0
301,SD,2011,20758.0,45906.0,38646.75,120691.75,20758.0,234437.0
302,SD,2012,20613.0,44803.0,38838.5,159941.75,20613.0,227906.0
303,SD,2013,24274.0,53970.0,40955.0,119378.0,24274.0,229715.0
304,SD,2014,21944.0,52020.0,41412.5,125382.0,21944.0,402584.0
305,SD,2015,31590.0,57075.0,42607.5,88545.75,31590.0,404435.0
306,SD,2016,31590.0,58344.0,43960.0,69680.0,31590.0,211638.0
307,SD,2017,28954.0,55182.0,44689.0,82056.0,28954.0,202010.0
308,TN,2011,16160.0,54454.0,44262.0,65229.0,16160.0,235165.0
309,TN,2012,17493.0,55078.0,45926.0,65998.0,17493.0,332292.0
310,TN,2013,16827.0,58510.0,47382.0,71178.0,16827.0,329767.0
311,TN,2014,17270.0,63430.0,50544.0,71921.5,17270.0,322497.0
312,TN,2015,16723.0,65499.0,52228.75,74173.0,16723.0,250806.0
313,TN,2016,18720.0,65187.0,52645.0,80080.0,18720.0,229258.0
314,TN,2017,21570.0,64022.0,53146.25,78785.0,21570.0,278325.0
315,TX,2011,15288.0,59093.0,48402.0,74450.5,15288.0,300000.0
316,TX,2012,16619.0,63045.0,51605.0,76939.0,16619.0,244982.0
317,TX,2013,16432.0,63315.0,53123.0,75878.0,16432.0,349200.0
318,TX,2014,16806.0,63284.0,55120.0,76877.0,16806.0,260315.0
319,TX,2015,16494.0,65183.0,57179.0,78707.0,16494.0,478200.0
320,TX,2016,16765.0,65374.0,58573.0,79102.0,16765.0,338525.0
321,TX,2017,17181.0,68827.0,60798.0,81640.0,17181.0,340400.0
322,UT,2011,16619.0,55432.0,43058.5,70450.0,16619.0,215467.0
323,UT,2012,21650.0,55598.0,43597.0,70203.0,21650.0,192733.0
324,UT,2013,24315.0,60611.0,45531.0,71261.0,24315.0,238638.0
325,UT,2014,18658.0,60341.0,46097.75,76674.0,18658.0,199389.0
326,UT,2015,22464.0,61006.0,46509.0,76586.0,22464.0,211307.0
327,UT,2016,23462.0,60112.0,47861.0,76586.0,23462.0,229278.0
328,UT,2017,17555.0,64106.0,52478.0,80434.0,17555.0,251222.0
329,VA,2011,16016.0,62067.0,54080.0,74006.0,16016.0,237058.0
330,VA,2012,16660.0,62546.0,54080.0,75608.0,16660.0,245092.0
331,VA,2013,16900.0,62462.0,54330.0,74214.0,16900.0,234083.0
332,VA,2014,17120.0,63336.0,55286.0,74402.0,17120.0,248269.0
333,VA,2015,16850.0,67371.0,55162.0,75046.0,16850.0,325119.0
334,VA,2016,16910.0,64189.0,59842.0,77001.5,16910.0,241842.0
335,VA,2017,17070.0,69763.0,61318.0,82597.0,17070.0,267197.0
336,VI,2015,26291.0,40530.0,34798.0,48999.5,26291.0,165651.0
337,VI,2016,26040.0,41070.0,36059.5,49270.0,26040.0,180502.0
338,VI,2017,26040.0,51750.0,39880.0,57741.0,26040.0,102294.0
339,VT,2011,23050.0,64802.5,58510.0,72030.0,23050.0,180000.0
340,VT,2012,25668.0,70949.0,61568.0,79934.0,25668.0,186597.0
341,VT,2013,25903.0,72592.0,61589.0,81141.0,25903.0,175802.0
342,VT,2014,25251.0,75338.0,64417.5,87422.0,25251.0,226387.0
343,VT,2015,17014.0,80330.0,68099.0,91104.0,17014.0,187200.0
344,VT,2016,27324.0,81889.5,67246.0,92548.5,27324.0,236246.0
345,VT,2017,26650.0,85134.0,66393.5,95233.0,26650.0,239366.0
346,WA,2011,24669.0,79726.0,70221.0,88317.0,24669.0,256565.0
347,WA,2012,23358.0,77677.5,70257.0,89324.5,23358.0,311034.0
348,WA,2013,22760.0,86278.0,70970.0,90303.25,22760.0,249808.0
349,WA,2014,20870.0,87547.0,69098.0,97219.0,20870.0,311458.0
350,WA,2015,22360.0,84739.0,68162.0,98072.0,22360.0,247541.0
351,WA,2016,16598.0,89669.0,73362.0,102461.0,16598.0,261352.0
352,WA,2017,17555.0,89669.0,72301.0,106101.0,17555.0,278200.0
353,WI,2011,18290.0,59186.5,48360.0,74474.5,18290.0,330000.0
354,WI,2012,19053.0,60986.0,49203.25,76440.0,19053.0,337500.0
355,WI,2013,24086.0,61984.0,50907.0,79269.0,24086.0,232627.0
356,WI,2014,18179.0,64827.495,53186.0,80142.0,18179.0,483052.0
357,WI,2015,16570.0,66747.0,54506.5,83450.0,16570.0,261868.0
358,WI,2016,16994.0,68619.0,55890.0,86445.0,16994.0,221541.0
359,WI,2017,17971.0,72842.0,58837.75,87890.25,17971.0,216986.0
